param_iter	simnum	simcount	seed	d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	nsp_sim	tree_ht_sim	tree_len_sim	nsp_obs	tree_ht_obs	tree_len_obs	time_spent_in_trait1	time_spent_in_trait2	total_time	pct_spent_in_trait1	pct_spent_in_trait2	sim_t12	sim_t21	sim_d_t1	sim_d_t2	sim_e_t1	sim_e_t2	sim_a_t1	sim_a_t2	obs_t12	obs_t21	obs_d_t1	obs_d_t2	obs_e_t1	obs_e_t2	obs_a_t1	obs_a_t2	sim_j_t1	sim_j_t2	sim_y_t1	sim_y_t2	sim_s_t1	sim_s_t2	sim_v_t1	sim_v_t2	obs_j_t1	obs_j_t2	obs_y_t1	obs_y_t2	obs_s_t1	obs_s_t2	obs_v_t1	obs_v_t2
1	54	54	592230839	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	79.7731174223597	1288.38512181536	50	79.7731174223597	1288.38512181536	312.396810356775	975.988311458587	1288.38512181536	24.2	75.8	6	4	14	19	0	0	0	0	6	4	14	19	0	0	0	0	0	4	4	26	3	8	4	0	0	4	4	26	3	8	4	0
1	55	55	592230840	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	82.769138673077	948.265890163417	50	82.769138673077	948.265890163417	491.707943488591	456.557946674826	948.265890163417	51.9	48.1	0	10	14	9	0	0	0	0	0	10	14	9	0	0	0	0	10	6	5	12	4	4	7	1	10	6	5	12	4	4	7	1
1	56	56	592230841	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	76.8531310536842	1253.68598572698	50	76.8531310536842	1253.68598572698	1034.21497401054	219.471011716436	1253.68598572698	82.5	17.5	8	3	38	2	0	0	0	0	8	3	38	2	0	0	0	0	10	2	21	1	6	0	8	1	10	2	21	1	6	0	8	1
1	57	57	592230842	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	79.79734373086	1085.57917917437	50	79.79734373086	1085.57917917437	281.585547065429	803.993632108945	1085.57917917437	25.9	74.1	1	9	8	13	0	0	0	0	1	9	8	13	0	0	0	0	2	8	3	24	4	4	2	2	2	8	3	24	4	4	2	2
1	58	58	592230843	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	60.9188642304455	1117.51053459443	50	60.9188642304455	1117.51053459443	605.735156013733	511.775378580694	1117.51053459443	54.2	45.8	0	6	13	11	0	0	0	0	0	6	13	11	0	0	0	0	9	5	8	17	4	3	1	2	9	5	8	17	4	3	1	2
1	59	59	592230844	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	75.6037042809009	841.274235012371	50	75.6037042809009	841.274235012371	190.696468237449	650.577766774922	841.274235012371	22.7	77.3	2	6	2	10	0	0	0	0	2	6	2	10	0	0	0	0	5	15	6	21	0	1	0	1	5	15	6	21	0	1	0	1
1	60	60	592230845	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	85.6806904698932	929.011026545307	50	85.6806904698932	929.011026545307	328.007413377468	601.003613167839	929.011026545307	35.3	64.7	1	5	11	8	0	0	0	0	1	5	11	8	0	0	0	0	3	9	5	18	2	9	2	1	3	9	5	18	2	9	2	1
1	61	61	592230846	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	81.6903746138664	1044.05352971852	50	81.6903746138664	1044.05352971852	220.452090853928	823.601438864593	1044.05352971852	21.1	78.9	2	6	7	13	0	0	0	0	2	6	7	13	0	0	0	0	2	11	1	21	4	6	1	3	2	11	1	21	4	6	1	3
1	62	62	592230847	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	75.4883295145963	1392.53181448051	50	75.4883295145963	1392.53181448051	1010.20373528106	382.328079199451	1392.53181448051	72.5	27.5	2	8	30	10	0	0	0	0	2	8	30	10	0	0	0	0	9	3	7	10	9	2	7	2	9	3	7	10	9	2	7	2
1	63	63	592230848	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	60.5209279511502	937.470917805449	50	60.5209279511502	937.470917805449	243.101309002567	694.369608802882	937.470917805449	25.9	74.1	0	6	3	15	0	0	0	0	0	6	3	15	0	0	0	0	3	7	6	25	0	6	0	2	3	7	6	25	0	6	0	2
